m_moviekey,m_title,m_genre,m_releasetime,m_language,m_countrykey
70241153,A Moment To Remember,"Romantic, Drama",2004,Korean,2
60022589,A Walk to Remember,Romance,2002,English,1
81017092,Along With The Gods: The Last 49 Days,"Fantasy, Action",2018,Korean,2
80214451,Along With The Gods: The Two Worlds,"Fantasy, Action",2017,Korean,2
80091194,Architecture 101,"Romantic, Drama",2012,Korean,2
80991555,Be With You,"Romance, Drama",2018,Korean,2
80075170,Beauty Inside,"Romance, Comedy",2015,Korean,2
80033517,C’EST SI BON,"Musical, Drama",2015,Korean,2
80168188,Chasing Coral,Documentary,2017,English,1
81031373,Don't F**k with Cats: Hunting an Internet Killer,Documentary,2019,English,1
80000003,EXIT,"Disaster, Action, Comedy",2019,Korean,2
60000724,Forrest Gump,Family,1994,English,1
80000006,Love 911,"Romance, Drama, Comedy",2012,Korean,2
80000005,Lover's Concerto,"Romance, Melodrama",2002,Korean,2
80098478,My Sassy Girl,"Romance, Comedy",2001,Korean,2
80230533,My Wife Got Married,"Romance, Satirical",2008,Korean,2
14546747,Silence of the Lambs,Horror,1991,English,1
70142818,Snow Flower and the Secret Fan,"Historical, Drama",2011,"Mandarin, English, Korean",3
70253645,Spellbound,"Romance, Comedy, Horror",2011,Korean,2
70245273,Sunny,"Comedy, Drama, Youth",2011,Korean,2
80000002,The Art of Seduction,"Romance, Comedy",2005,Korean,2
80230449,The Classic,"Romantic, Drama",2003,Korean,2
80117542,The Great Hack,Documentary,2019,English,1
80000001,The Last Princess,"Historical, Biography",2016,"Korean, Japanese",2
81031587,The Negotiation,"Action, Crime, Thriller",2018,Korean,2
80224105,The Swindlers,"Thriller, Action",2017,Korean,2
80000004,The Third Way of Love,"Romance, Drama",2015,Mandarin,3
80196357,The Truth Beneath,"Crime, Thriller",2016,Korean,2
81145628,Norm of the North: King Sized Adventure,"Family, Comedy",2019,"English, Hindi, Korean, Mandarin",1
80117401,Jandino: Whatever it Takes,Comedy,2016,English,1
80125979,#realityhigh,Comedy,2017,English,1
70304989,Automata,"Sci-Fi, Fantasy, Thrillers",2014,"Bulgarian, English, Spanish, English",7
80164077,Fabrizio Copano: Solo pienso en mi,Stand-Up Comedy,2017,Spanish,7
70304990,Good People,"Action & Adventure, Thrillers",2014,"English, Danish, Swedish",1
80169755,Joaquín Reyes: Una y no más,Stand-Up Comedy,2017,,1
70299204,Kidnapping Mr. Heineken,"Action, Dramas",2015,"Dutch, English",13
80182480,Krish Trish and Baltiboy,Family,2009,,1
80182483,Krish Trish and Baltiboy: Battle of Wits,Family,2013,,1
80182596,Krish Trish and Baltiboy: Best Friends Forever,Family,2016,,1
80182482,Krish Trish and Baltiboy: Comics of India,Family,2012,,1
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Family,2017,,1
80182481,Krish Trish and Baltiboy: Part II,Family,2010,,1
80182621,Krish Trish and Baltiboy: The Greatest Trick,Family,2013,,1
80057969,Love,Drama,2015,French,5
80060297,Manhattan Romance,"Romance, Comedy",2014,English,1
80046728,Moonwalkers,"Action, Comedy",2015,French,5
80046727,Rolling Papers,Documentary,2015,"English, Spanish",1
70304988,Stonehearst Asylum,"Horror, Thrillers",2014,English,1
80057700,The Runner,Drama,2015,English,1
80045922,6 Years,"Dramas, Romance",2015,English,1
80203094,City of Joy,Documentary,2018,English,1
70241607,Laddaland,Horror,2011,Thai,4
80988892,Next Gen,"Family, Comedy, Sci-Fi, Fantasy",2018,"Mandarin, English",3
80239639,Sierra Burgess Is A Loser,"Romance, Comedy",2018,English,1
80159586,The Most Assassinated Woman in the World,"Drama, Thriller",2018,English,1
80152447,Cézanne et moi,Drama,2016,French,5
81154455,Article 15,"Drama, Thriller",2019,Hindi,10
81113928,Care of Kancharapalem,"Comedy, Drama",2018,,1
81052275,Ee Nagaraniki Emaindi,Comedy,2018,Hindi,10
81132437,Kill Me If You Dare,"Comedy, Romance",2019,,1
80058026,Hell and Back,"Action, Comedy",2015,English,1
70303496,PK,"Comedy, Dramas",2014,Hindi,10
80162141,Hard Tide,Drama,2015,English,1
80095641,Elstree 1976,Documentary,2015,English,1
81176188,American Factory: A Conversation with the Obamas,Documentary,2019,,1
80159880,ATM,"Romance, Comedy",2012,English,1
81016044,Bangkok Traffic (Love) Story,"Romance, Comedy",2009,Thai,4
80158838,I Fine... Thank You... Love You,"Romance, Comedy",2014,Thai,4
81016045,One Day,"Romance, Drama",2016,Thai,4
70142798,Phobia 2,Horror,2009,Thai,4
70062814,Shutter,Horror,2004,Thai,4
80158839,Suckseed,Comedy,2011,Thai,4
80147760,Carrie Pilby,"Comedy, Drama",2016,English,1
80177405,Marc Maron: Too Real,Comedy,2017,English,1
81160036,Saawan,Drama,2016,Urdu,12
81173255,The Heretics,Horror,2017,English,1
81078908,The World We Make,"Romance, Drama",2019,English,1
81155784,Watchman,"Comedy, Drama",2019,Hindi,10